Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score,Free_Time_Activity,Social_Media_Impact
11,19,Male,Undergraduate,France,4.8,Snapchat,Yes,6.2,5,Complicated,3,7,"Играю в футбол, читаю комиксы, слушаю музыку","Snapchat отвлекает от учебы, но помогает общаться с друзьями"
12,20,Female,Undergraduate,Spain,5.5,TikTok,Yes,5.8,6,In Relationship,2,8,"Танцую фламенко, гуляю по городу с парнем","TikTok помогает находить новые идеи для танцев, но иногда трачу слишком много времени"
13,22,Male,Graduate,Italy,2.8,LinkedIn,No,7.2,8,Single,1,4,"Готовлю итальянскую пасту, хожу в музеи","LinkedIn использую для поиска работы, в остальных соцсетях не сижу"
14,18,Female,High School,Mexico,6.5,Instagram,Yes,5.5,5,Single,4,9,"Фотографирую, выкладываю фото в Instagram, встречаюсь с подругами","Инстаграм — моя страсть, но из-за него ссорюсь с мамой"
15,21,Male,Undergraduate,Russia,3.7,YouTube,No,6.8,7,In Relationship,2,5,"Смотрю обучающие видео по программированию, играю в настольные игры","YouTube помогает в учебе, на другие соцсети времени почти нет"
16,20,Female,Undergraduate,China,4.2,TikTok,Yes,6.0,6,Complicated,3,7,"Занимаюсь каллиграфией, пью чай, смотрю китайские сериалы","В TikTok смотрю смешные видео, чтобы поднять настроение"
17,24,Male,Graduate,Sweden,2.0,LinkedIn,No,7.8,8,Single,0,3,"Бегаю по утрам, играю в баскетбол, читаю книги по истории","Соцсети почти не использую, только LinkedIn для работы"
18,19,Female,High School,Norway,5.0,Instagram,Yes,5.7,5,In Relationship,3,8,"Вяжу, смотрю сериалы, гуляю с собакой","Instagram помогает следить за модой, но иногда вызывает зависть к чужой жизни"
19,21,Male,Undergraduate,Denmark,3.5,Facebook,No,6.7,7,Single,1,5,"Играю в футбол, хожу в спортзал, встречаюсь с друзьями","В Facebook сижу редко, в основном читаю новости"
20,20,Female,Undergraduate,Netherlands,4.7,Snapchat,Yes,5.9,6,Complicated,3,7,"Катаюсь на велосипеде, рисую граффити, слушаю музыку","Snapchat использую для переписки с друзьями, иногда там конфликты"
21,18,Male,High School,Belgium,5.3,TikTok,Yes,5.5,5,Single,4,8,"Смотрю TikTok, играю в Fortnite, катаюсь на скейте","TikTok — мое главное развлечение, но родители ругают"
22,23,Female,Graduate,Switzerland,2.5,LinkedIn,No,7.3,8,In Relationship,1,4,"Хожу в горы, занимаюсь альпинизмом, читаю","LinkedIn использую для профессиональных контактов"
23,19,Male,Undergraduate,Austria,4.9,Instagram,Yes,5.8,6,Complicated,3,7,"Играю на гитаре, сочиняю песни, тусуюсь с друзьями","В Instagram выкладываю свои концерты, это помогает продвижению"
24,20,Female,Undergraduate,Portugal,5.7,TikTok,Yes,5.4,5,Single,4,8,"Танцую, участвую в местных фестивалях","TikTok помогает мне развиваться в танцах, но иногда я засиживаюсь допоздна"
25,22,Male,Graduate,Greece,3.2,Facebook,No,6.9,7,In Relationship,2,5,"Читаю древнегреческую философию, хожу в спортзал","Facebook использую для общения с родственниками"
26,19,Female,High School,Ireland,6.1,Instagram,Yes,5.2,5,Complicated,4,9,"Танцую ирландские танцы, пью пиво с друзьями","Инстаграм — способ показать свои выступления, но из-за него мало сплю"
27,21,Male,Undergraduate,New Zealand,3.8,YouTube,No,6.6,7,Single,1,5,"Занимаюсь серфингом, играю в регби, смотрю природу","YouTube смотрю обучалки по серфингу, соцсети не отвлекают"
28,20,Female,Undergraduate,Singapore,4.4,TikTok,Yes,5.9,6,In Relationship,3,7,"Учусь готовить азиатскую еду, хожу по магазинам","В TikTok ищу рецепты, иногда там зависаю"
29,24,Male,Graduate,Malaysia,2.2,LinkedIn,No,7.4,8,Single,0,3,"Играю в бадминтон, читаю бизнес-книги","LinkedIn для поиска работы, другие соцсети не интересны"
30,19,Female,High School,Thailand,5.9,Instagram,Yes,5.3,5,Complicated,4,8,"Делаю украшения своими руками, смотрю тайские сериалы","Инстаграм продаю свои украшения, это помогает зарабатывать, но иногда там хейт"
31,21,Male,Undergraduate,Vietnam,3.6,Facebook,No,6.7,7,Single,1,5,"Играю в футбол, пью кофе с друзьями","Facebook использую для чтения новостей, не часто"
32,20,Female,Undergraduate,Philippines,4.8,Snapchat,Yes,5.7,6,In Relationship,3,7,"Пою в караоке, танцую, гуляю с семьей","Snapchat для общения с подругами, иногда там сплетни"
33,18,Male,High School,Indonesia,5.4,TikTok,Yes,5.4,5,Complicated,4,8,"Играю в онлайн-игры, смотрю TikTok, ем местную еду","TikTok отвлекает от домашних заданий, но весело"
34,23,Female,Graduate,Taiwan,2.6,LinkedIn,No,7.2,8,Single,1,4,"Занимаюсь каллиграфией, пью чай, читаю","LinkedIn использую редко, в основном для связей"
35,19,Male,Undergraduate,Hong Kong,4.7,Instagram,Yes,5.8,6,In Relationship,3,7,"Фотографирую город, гуляю по ночам, играю в игры","В Instagram выкладываю фото, это хобби, но иногда сравниваю себя с другими"
36,20,Female,Undergraduate,Turkey,5.6,TikTok,Yes,5.5,5,Complicated,4,8,"Готовлю турецкие сладости, смотрю сериалы","TikTok помогает находить рецепты, но из-за него мало сплю"
37,22,Male,Graduate,Israel,3.1,Facebook,No,6.8,7,Single,1,5,"Играю в баскетбол, читаю книги по психологии","Facebook использую для новостей, без фанатизма"
38,19,Female,High School,UAE,6.2,Instagram,Yes,5.1,5,In Relationship,4,9,"Хожу по магазинам, встречаюсь с подругами, делаю макияж","Инстаграм — мой гид по моде, но иногда там много негатива"
39,21,Male,Undergraduate,Egypt,3.9,YouTube,No,6.5,7,Complicated,2,6,"Играю в футбол, смотрю футбольные матчи, общаюсь с друзьями","YouTube смотрю обзоры матчей, соцсети не мешают"
40,20,Female,Undergraduate,Morocco,4.5,TikTok,Yes,5.8,6,Single,3,7,"Танцую, слушаю музыку, готовлю традиционные блюда","В TikTok танцую и выкладываю видео, это весело, но иногда залипаю"
41,24,Male,Graduate,South Africa,2.3,LinkedIn,No,7.3,8,In Relationship,1,4,"Путешествую по стране, фотографирую природу","LinkedIn для работы, в остальном — не пользуюсь соцсетями"
42,19,Female,High School,Nigeria,5.8,Instagram,Yes,5.4,5,Complicated,4,8,"Плету косы, смотрю нигерийские фильмы, гуляю с подругами","Инстаграм помогает мне находить идеи для причесок, но иногда там сплетни"
43,21,Male,Undergraduate,Kenya,3.7,Facebook,No,6.6,7,Single,2,5,"Бегаю по утрам, играю в футбол, читаю","Facebook использую для общения с родными, не часто"
44,20,Female,Undergraduate,Ghana,4.6,Snapchat,Yes,5.7,6,In Relationship,3,7,"Танцую, пою в церковном хоре, готовлю","Snapchat для общения с друзьями, иногда там ссоры"
45,18,Male,High School,Argentina,5.5,TikTok,Yes,5.3,5,Single,4,8,"Играю в футбол, смотрю TikTok, танцую танго","TikTok — мое вдохновение для футбольных финтов, но учеба страдает"
46,23,Female,Graduate,Chile,2.7,LinkedIn,No,7.1,8,Complicated,1,4,"Путешествую по горам, занимаюсь йогой","LinkedIn использую для работы, в соцсетях почти не сижу"
47,19,Male,Undergraduate,Colombia,4.8,Instagram,Yes,5.9,6,In Relationship,3,7,"Танцую сальсу, играю на барабанах, тусуюсь с друзьями","В Instagram выкладываю видео танцев, это помогает в продвижении, но иногда отвлекает"
48,20,Female,Undergraduate,Peru,5.5,TikTok,Yes,5.6,5,Single,4,8,"Вяжу, готовлю, смотрю сериалы","TikTok смотрю для идей по вязанию, но иногда забываю о времени"
49,22,Male,Graduate,Venezuela,3.3,Facebook,No,6.7,7,In Relationship,2,5,"Играю в бейсбол, читаю новости","Facebook использую для чтения новостей, без фанатизма"
50,19,Female,High School,Ecuador,6.3,Instagram,Yes,5.2,5,Complicated,4,9,"Танцую, делаю макияж, встречаюсь с подругами","Инстаграм — моя страсть, но из-за него ссорюсь с парнем"
51,21,Male,Undergraduate,Uruguay,3.8,YouTube,No,6.4,7,Single,2,6,"Играю в футбол, смотрю футбольные видео, читаю","YouTube смотрю для самообразования, соцсети не мешают"
52,20,Female,Undergraduate,Paraguay,4.7,TikTok,Yes,5.8,6,In Relationship,3,7,"Танцую, слушаю музыку, готовлю","В TikTok танцую и выкладываю, это весело, но иногда парень ругает"
53,24,Male,Graduate,Bolivia,2.4,LinkedIn,No,7.2,8,Complicated,1,4,"Путешествую по стране, фотографирую","LinkedIn для работы, остальные соцсети игнорирую"
54,19,Female,High School,Costa Rica,5.7,Instagram,Yes,5.5,5,Single,4,8,"Занимаюсь сёрфингом, фотографирую закаты","Инстаграм для фото, но иногда там много негатива"
55,21,Male,Undergraduate,Panama,3.6,Facebook,No,6.5,7,In Relationship,2,5,"Играю в баскетбол, читаю комиксы","Facebook использую редко, в основном для общения с семьей"
56,20,Female,Undergraduate,Jamaica,4.9,Snapchat,Yes,5.6,6,Complicated,3,7,"Танцую регги, слушаю музыку, готовлю","Snapchat для общения с друзьями, иногда там ссоры"
57,18,Male,High School,Trinidad,5.6,TikTok,Yes,5.2,5,Single,4,8,"Играю в крикет, смотрю TikTok, танцую","TikTok помогает мне с танцами, но из-за него мало сплю"
58,23,Female,Graduate,Bahamas,2.8,LinkedIn,No,7.0,8,In Relationship,1,4,"Плаваю, занимаюсь дайвингом, читаю","LinkedIn использую для работы, в соцсетях не сижу"
59,19,Male,Undergraduate,Iceland,4.6,Instagram,Yes,5.9,6,Complicated,3,7,"Фотографирую северное сияние, гуляю, играю на гитаре","В Instagram выкладываю фото, это хобби, но иногда отвлекает"
60,20,Female,Undergraduate,Finland,5.4,TikTok,Yes,5.7,5,Single,4,8,"Катаюсь на лыжах, вяжу, слушаю музыку","TikTok смотрю для идей по вязанию, но иногда зависаю"
61,22,Male,Graduate,Poland,3.1,Facebook,No,7.1,7,Single,1,5,"Играю в шахматы, читаю исторические книги","Facebook использую для новостей, не часто"
62,19,Female,Undergraduate,Romania,5.6,Instagram,Yes,5.6,5,In Relationship,3,8,"Танцую, рисую, встречаюсь с друзьями","Инстаграм помогает мне с идеями для рисования, но иногда трачу много времени"
63,20,Male,Undergraduate,Hungary,4.2,TikTok,Yes,6.0,6,Complicated,3,7,"Играю в футбол, смотрю TikTok, слушаю музыку","TikTok отвлекает от учебы, но весело"
64,18,Female,High School,Czech Republic,6.1,Snapchat,Yes,5.2,4,Single,4,9,"Танцую, встречаюсь с друзьями, пью пиво","Snapchat для общения, но из-за него ссорюсь с родителями"
65,23,Male,Graduate,Slovakia,2.3,LinkedIn,No,7.4,8,In Relationship,1,3,"Путешествую, читаю, играю в хоккей","LinkedIn для работы, в соцсетях почти не сижу"
66,21,Female,Undergraduate,Croatia,4.8,Instagram,Yes,5.8,6,Single,3,7,"Занимаюсь виндсерфингом, фотографирую","В Instagram выкладываю фото с моря, это вдохновляет"
67,20,Male,Undergraduate,Serbia,3.9,YouTube,No,6.5,7,Complicated,2,6,"Играю в баскетбол, смотрю фильмы","YouTube смотрю для учебы, соцсети не мешают"
68,19,Female,High School,Slovenia,5.7,TikTok,Yes,5.4,5,In Relationship,4,8,"Рисую, слушаю музыку, гуляю в лесу","TikTok помогает находить идеи для рисования, но иногда отвлекает"
69,22,Male,Graduate,Bulgaria,2.8,LinkedIn,No,7.2,8,Single,1,4,"Играю в шахматы, читаю, путешествую","LinkedIn использую редко, в основном для работы"
70,20,Female,Undergraduate,Estonia,4.5,Instagram,Yes,5.9,6,Complicated,3,7,"Танцую, пою в хоре, готовлю","Инстаграм для общения с друзьями, иногда там хейт"
71,18,Male,High School,Latvia,5.4,Snapchat,Yes,5.5,5,Single,4,8,"Играю в хоккей, смотрю TikTok, гуляю","Snapchat для переписки, но иногда ссорюсь с друзьями"
72,21,Female,Graduate,Lithuania,3.2,Facebook,No,6.8,7,In Relationship,2,5,"Читаю книги, занимаюсь йогой, гуляю","Facebook использую для общения с родными, не часто"
73,19,Male,Undergraduate,Ukraine,4.9,TikTok,Yes,5.7,6,Complicated,3,7,"Играю в футбол, смотрю TikTok, слушаю музыку","TikTok отвлекает от учебы, но весело"
74,20,Female,Undergraduate,Moldova,5.8,Instagram,Yes,5.3,5,Single,4,8,"Танцую, готовлю, встречаюсь с подругами","Инстаграм помогает мне с рецептами, но иногда трачу много времени"
75,23,Male,Graduate,Belarus,2.5,LinkedIn,No,7.3,8,In Relationship,1,4,"Путешествую, читаю, играю в теннис","LinkedIn для работы, в соцсетях не сижу"
76,21,Female,Undergraduate,Kazakhstan,4.6,Snapchat,Yes,5.8,6,Single,3,7,"Танцую, слушаю музыку, готовлю","Snapchat для общения с друзьями, иногда там ссоры"
77,19,Male,High School,Uzbekistan,5.5,TikTok,Yes,5.4,5,Complicated,4,8,"Играю в футбол, смотрю TikTok, ем плов","TikTok — мое развлечение, но родители ругают"
78,22,Female,Graduate,Kyrgyzstan,2.9,Facebook,No,7.0,7,In Relationship,2,5,"Читаю книги, занимаюсь вышивкой","Facebook использую для общения с родными, не часто"
79,20,Male,Undergraduate,Tajikistan,4.7,YouTube,Yes,5.9,6,Single,3,7,"Играю в футбол, смотрю YouTube, слушаю музыку","YouTube смотрю для учебы, соцсети не мешают"
80,18,Female,High School,Armenia,5.9,Instagram,Yes,5.2,5,Complicated,4,9,"Танцую, готовлю, встречаюсь с друзьями","Инстаграм — моя страсть, но из-за него мало сплю"
81,21,Male,Graduate,Georgia,3.0,LinkedIn,No,7.1,8,In Relationship,1,4,"Путешествую, читаю, играю в шахматы","LinkedIn для работы, в соцсетях почти не сижу"
82,19,Female,Undergraduate,Azerbaijan,4.8,TikTok,Yes,5.7,6,Single,3,7,"Танцую, слушаю музыку, готовлю","TikTok помогает находить идеи для танцев, но иногда отвлекает"
83,20,Male,Undergraduate,Cyprus,3.8,Facebook,No,6.6,7,Complicated,2,6,"Играю в футбол, читаю, плаваю","Facebook использую редко, в основном для новостей"
84,22,Female,Graduate,Malta,2.7,LinkedIn,No,7.2,8,In Relationship,1,4,"Путешествую, фотографирую, читаю","LinkedIn для работы, в соцсетях не сижу"
85,18,Male,High School,Luxembourg,5.6,Snapchat,Yes,5.3,5,Single,4,8,"Играю в футбол, смотрю TikTok, гуляю","Snapchat для общения, но иногда ссорюсь с друзьями"
86,21,Female,Undergraduate,Monaco,4.5,Instagram,Yes,5.8,6,Complicated,3,7,"Танцую, хожу по магазинам, встречаюсь с друзьями","Инстаграм для общения, но иногда там хейт"
87,19,Male,High School,Andorra,5.3,TikTok,Yes,5.5,5,In Relationship,4,8,"Играю в футбол, смотрю TikTok, катаюсь на лыжах","TikTok отвлекает от учебы, но весело"
88,23,Female,Graduate,San Marino,2.6,LinkedIn,No,7.3,8,Single,1,4,"Читаю, занимаюсь йогой, путешествую","LinkedIn использую для работы, в соцсетях не сижу"
89,20,Male,Undergraduate,Vatican City,4.4,YouTube,Yes,6.0,6,Complicated,3,7,"Читаю религиозные книги, играю в шахматы, гуляю","YouTube смотрю для самообразования, соцсети не мешают"
90,18,Female,High School,Liechtenstein,5.8,Instagram,Yes,5.2,5,Single,4,9,"Танцую, фотографирую, гуляю в горах","Инстаграм для фото, но иногда вызывает зависть"
91,22,Male,Graduate,Montenegro,2.9,Facebook,No,7.0,7,In Relationship,2,5,"Играю в футбол, читаю, путешествую","Facebook использую редко, для общения с семьей"
92,19,Female,Undergraduate,Albania,4.7,TikTok,Yes,5.8,6,Complicated,3,7,"Танцую, слушаю музыку, готовлю","TikTok помогает находить идеи, но иногда отвлекает"
93,21,Male,Undergraduate,North Macedonia,3.7,Snapchat,No,6.5,7,Single,2,6,"Играю в футбол, смотрю фильмы, читаю","Snapchat использую редко, для общения"
94,20,Female,High School,Kosovo,5.5,Instagram,Yes,5.4,5,In Relationship,4,8,"Танцую, встречаюсь с подругами, готовлю","Инстаграм помогает с идеями, но иногда трачу много времени"
95,23,Male,Graduate,Bosnia,2.4,LinkedIn,No,7.4,8,Complicated,1,4,"Путешествую, читаю, играю в теннис","LinkedIn для работы, в соцсетях не сижу"
96,19,Female,Undergraduate,Qatar,4.9,TikTok,Yes,5.7,6,Single,3,7,"Танцую, слушаю музыку, хожу по магазинам","TikTok для развлечения, но иногда забываю о времени"
97,18,Male,High School,Kuwait,5.7,Snapchat,Yes,5.3,5,In Relationship,4,8,"Играю в футбол, смотрю TikTok, гуляю","Snapchat для общения, но иногда ссорюсь с друзьями"
98,22,Female,Graduate,Bahrain,2.8,LinkedIn,No,7.1,8,Complicated,1,4,"Читаю, занимаюсь йогой, путешествую","LinkedIn использую для работы, в соцсетях не сижу"
99,20,Male,Undergraduate,Oman,4.6,Instagram,Yes,5.9,6,Single,3,7,"Играю в футбол, читаю, фотографирую","В Instagram выкладываю фото, это хобби, но иногда отвлекает"
100,21,Female,Undergraduate,Jordan,5.4,TikTok,Yes,5.5,5,In Relationship,4,8,"Танцую, готовлю, встречаюсь с подругами","TikTok помогает с рецептами, но иногда трачу много времени"
101,19,Male,High School,Lebanon,5.8,YouTube,Yes,5.2,5,Complicated,4,9,"Играю в футбол, смотрю YouTube, слушаю музыку","YouTube смотрю для развлечения, но из-за него мало сплю"
102,23,Female,Graduate,Iraq,2.5,LinkedIn,No,7.3,8,Single,1,4,"Читаю, вяжу, путешествую","LinkedIn для работы, в соцсетях не сижу"
103,20,Male,Undergraduate,Yemen,4.7,Facebook,Yes,5.8,6,In Relationship,3,7,"Играю в футбол, читаю, общаюсь с друзьями","Facebook использую для общения, но иногда отвлекает"
104,18,Female,High School,Syria,5.6,Instagram,Yes,5.4,5,Single,4,8,"Танцую, рисую, встречаюсь с подругами","Инстаграм для вдохновения, но иногда там негатив"
105,22,Male,Graduate,Afghanistan,2.9,LinkedIn,No,7.0,7,Complicated,2,5,"Читаю, играю в крикет, путешествую","LinkedIn использую редко, для работы"
106,19,Female,Undergraduate,Pakistan,4.8,TikTok,Yes,5.7,6,In Relationship,3,7,"Танцую, слушаю музыку, готовлю","TikTok для развлечения, но иногда отвлекает"
107,21,Male,Undergraduate,Nepal,3.8,YouTube,No,6.6,7,Single,2,6,"Играю в футбол, смотрю YouTube, читаю","YouTube смотрю для учебы, соцсети не мешают"
108,20,Female,High School,Bhutan,5.5,Snapchat,Yes,5.5,5,Complicated,4,8,"Танцую, пою, гуляю в горах","Snapchat для общения, но иногда ссорюсь с друзьями"
109,23,Male,Graduate,Sri Lanka,2.6,LinkedIn,No,7.2,8,In Relationship,1,4,"Путешествую, читаю, играю в шахматы","LinkedIn для работы, в соцсетях не сижу"
110,19,Female,Undergraduate,Maldives,4.9,Instagram,Yes,5.8,6,Single,3,7,"Танцую, фотографирую, плаваю","Инстаграм для фото, но иногда вызывает зависть"
111,20,Male,Undergraduate,Bangladesh,6.1,Instagram,Yes,6.2,5,Single,4,8,"Играю в крикет, смотрю фильмы, читаю","В Instagram сижу много, иногда учеба страдает"
112,21,Female,Undergraduate,India,5.8,TikTok,Yes,5.9,6,In Relationship,3,7,"Танцую, готовлю, смотрю сериалы","TikTok помогает с танцами, но иногда отвлекает"
113,19,Male,Undergraduate,Nepal,4.9,Facebook,No,7.1,7,Single,2,5,"Играю в футбол, читаю, путешествую","Facebook использую редко, для общения"
114,22,Female,Graduate,Pakistan,5.5,Instagram,Yes,6.0,5,Single,4,8,"Вяжу, читаю, готовлю","Инстаграм для идей, но иногда трачу много времени"
115,20,Male,Undergraduate,Sri Lanka,5.2,TikTok,Yes,6.3,6,In Relationship,3,7,"Играю в крикет, смотрю TikTok, слушаю музыку","TikTok отвлекает от учебы, но весело"
116,19,Female,Undergraduate,Maldives,4.8,Instagram,No,7.2,8,Single,2,5,"Плаваю, фотографирую, читаю","Инстаграм для фото, без фанатизма"
117,21,Male,Graduate,Bangladesh,6.0,Facebook,Yes,5.8,5,In Relationship,4,8,"Играю в крикет, читаю, работаю","Facebook использую для работы, но иногда залипаю"
118,20,Female,Undergraduate,India,5.7,Instagram,Yes,6.1,6,Single,3,7,"Танцую, готовлю, встречаюсь с подругами","Инстаграм помогает с рецептами, но иногда отвлекает"
119,22,Male,Graduate,Nepal,4.7,TikTok,No,7.3,7,Single,2,5,"Путешествую, читаю, играю в шахматы","TikTok смотрю редко, в основном для развлечения"
120,19,Female,Undergraduate,Pakistan,5.4,Instagram,Yes,6.2,5,In Relationship,4,8,"Вяжу, читаю, готовлю","Инстаграм для идей, но иногда трачу много времени"
121,20,Male,Undergraduate,Sri Lanka,5.9,Facebook,Yes,5.9,6,Single,3,7,"Играю в крикет, смотрю фильмы, читаю","Facebook для общения, но иногда отвлекает"
122,21,Female,Graduate,Maldives,4.6,Instagram,No,7.4,8,In Relationship,2,5,"Плаваю, фотографирую, читаю","Инстаграм для фото, без фанатизма"
123,19,Male,Undergraduate,Bangladesh,5.3,TikTok,Yes,6.3,5,Single,4,8,"Играю в крикет, смотрю TikTok, слушаю музыку","TikTok отвлекает от учебы, но весело"
124,22,Female,Graduate,India,5.8,Instagram,Yes,5.8,6,In Relationship,3,7,"Танцую, готовлю, смотрю сериалы","Инстаграм помогает с танцами, но иногда отвлекает"
125,20,Male,Undergraduate,Nepal,4.5,Facebook,No,7.5,7,Single,2,5,"Играю в футбол, читаю, путешествую","Facebook использую редко, для общения"
126,21,Female,Graduate,Pakistan,5.2,Instagram,Yes,6.4,5,In Relationship,4,8,"Вяжу, читаю, готовлю","Инстаграм для идей, но иногда трачу много времени"
127,19,Male,Undergraduate,Sri Lanka,5.7,TikTok,Yes,5.7,6,Single,3,7,"Играю в крикет, смотрю TikTok, слушаю музыку","TikTok отвлекает от учебы, но весело"
128,20,Female,Undergraduate,Maldives,4.4,Instagram,No,7.6,8,In Relationship,2,5,"Плаваю, фотографирую, читаю","Инстаграм для фото, без фанатизма"
129,22,Male,Graduate,Bangladesh,5.1,Facebook,Yes,6.5,5,Single,4,8,"Играю в крикет, читаю, работаю","Facebook использую для работы, но иногда залипаю"
130,21,Female,Graduate,India,5.6,Instagram,Yes,5.6,6,In Relationship,3,7,"Танцую, готовлю, смотрю сериалы","Инстаграм помогает с танцами, но иногда отвлекает"
131,19,Male,Undergraduate,Nepal,4.3,TikTok,No,7.7,7,Single,2,5,"Путешествую, читаю, играю в шахматы","TikTok смотрю редко, в основном для развлечения"
132,20,Female,Undergraduate,Pakistan,5.0,Instagram,Yes,6.6,5,In Relationship,4,8,"Вяжу, читаю, готовлю","Инстаграм для идей, но иногда трачу много времени"
133,22,Male,Graduate,Sri Lanka,5.5,Facebook,Yes,5.5,6,Single,3,7,"Играю в крикет, смотрю фильмы, читаю","Facebook для общения, но иногда отвлекает"
134,21,Female,Graduate,Maldives,4.2,Instagram,No,7.8,8,In Relationship,2,5,"Плаваю, фотографирую, читаю","Инстаграм для фото, без фанатизма"
135,19,Male,Undergraduate,Bangladesh,4.9,TikTok,Yes,6.7,5,Single,4,8,"Играю в крикет, смотрю TikTok, слушаю музыку","TikTok отвлекает от учебы, но весело"
136,20,Female,Undergraduate,India,5.4,Instagram,Yes,5.4,6,In Relationship,3,7,"Танцую, готовлю, смотрю сериалы","Инстаграм помогает с танцами, но иногда отвлекает"
137,22,Male,Graduate,Nepal,4.1,Facebook,No,7.9,7,Single,2,5,"Играю в футбол, читаю, путешествую","Facebook использую редко, для общения"
138,21,Female,Graduate,Pakistan,4.8,Instagram,Yes,6.8,5,In Relationship,4,8,"Вяжу, читаю, готовлю","Инстаграм для идей, но иногда трачу много времени"
139,19,Male,Undergraduate,Sri Lanka,5.3,TikTok,Yes,5.3,6,Single,3,7,"Играю в крикет, смотрю TikTok, слушаю музыку","TikTok отвлекает от учебы, но весело"
140,20,Female,Undergraduate,Maldives,4.0,Instagram,No,8.0,8,In Relationship,2,5,"Плаваю, фотографирую, читаю","Инстаграм для фото, без фанатизма"
141,22,Male,Graduate,Bangladesh,4.7,Facebook,Yes,6.9,5,Single,4,8,"Играю в крикет, читаю, работаю","Facebook использую для работы, но иногда залипаю"
142,21,Female,Graduate,India,5.2,Instagram,Yes,5.2,6,In Relationship,3,7,"Танцую, готовлю, смотрю сериалы","Инстаграм помогает с танцами, но иногда отвлекает"
143,19,Male,Undergraduate,Nepal,3.9,TikTok,No,8.1,7,Single,2,5,"Путешествую, читаю, играю в шахматы","TikTok смотрю редко, в основном для развлечения"
144,20,Female,Undergraduate,Pakistan,4.6,Instagram,Yes,7.0,5,In Relationship,4,8,"Вяжу, читаю, готовлю","Инстаграм для идей, но иногда трачу много времени"
145,22,Male,Graduate,Sri Lanka,5.1,Facebook,Yes,5.1,6,Single,3,7,"Играю в крикет, смотрю фильмы, читаю","Facebook для общения, но иногда отвлекает"
146,21,Female,Graduate,Maldives,3.8,Instagram,No,8.2,8,In Relationship,2,5,"Плаваю, фотографирую, читаю","Инстаграм для фото, без фанатизма"
147,19,Male,Undergraduate,Bangladesh,4.5,TikTok,Yes,7.1,5,Single,4,8,"Играю в крикет, смотрю TikTok, слушаю музыку","TikTok отвлекает от учебы, но весело"
148,20,Female,Undergraduate,India,5.0,Instagram,Yes,5.0,6,In Relationship,3,7,"Танцую, готовлю, смотрю сериалы","Инстаграм помогает с танцами, но иногда отвлекает"
149,22,Male,Graduate,Nepal,3.7,Facebook,No,8.3,7,Single,2,5,"Играю в футбол, читаю, путешествую","Facebook использую редко, для общения"
150,21,Female,Graduate,Pakistan,4.4,Instagram,Yes,7.2,5,In Relationship,4,8,"Вяжу, читаю, готовлю","Инстаграм для идей, но иногда трачу много времени"
